City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
225,esfarayen,9,IR,1571197161,59,37.08,57.51,37.4,2.24
226,klaksvik,100,FO,1571197161,71,62.23,-6.59,50.0,28.86
227,carauari,5,BR,1571197162,96,-4.88,-66.9,73.13,1.95
228,cabo san lucas,20,MX,1571197162,83,22.89,-109.91,81.0,3.36
229,batsfjord,75,NO,1571197163,96,70.63,29.72,32.0,2.24
230,samoded,100,RU,1571197164,97,63.61,40.52,34.25,3.52
231,jinji,73,CN,1571197164,75,22.16,112.49,77.09,6.03
232,loa janan,98,ID,1571197164,60,-0.58,117.09,88.97,3.44
233,sinnamary,64,GF,1571197165,78,5.38,-52.96,81.95,15.76
234,spring valley,1,US,1571197166,75,41.33,-89.2,50.0,8.05
235,aksu,90,KZ,1571197166,87,52.04,76.93,48.2,22.37
236,nago,5,IT,1571197167,100,45.88,10.89,57.99,1.12
237,xuanwu,100,CN,1571197167,45,32.07,118.81,70.0,6.71
238,bathsheba,20,BB,1571197167,74,13.22,-59.52,82.4,10.29
239,laguna,40,BZ,1571197168,100,16.17,-88.94,77.0,1.18
240,epe,75,DE,1571197169,93,52.18,7.04,55.99,8.05
241,itaituba,100,BR,1571197169,95,-4.26,-55.99,73.13,1.54
242,isangel,20,VU,1571197169,54,-19.55,169.27,78.8,17.22
243,kysyl-syr,100,RU,1571197170,90,63.9,122.77,29.21,7.1
244,fernandina beach,40,US,1571197171,88,30.67,-81.46,78.8,14.99
245,ahipara,35,NZ,1571197172,84,-35.17,173.16,64.0,27.76
246,aden,73,YE,1571197172,69,12.79,45.03,81.05,7.21
247,luganville,75,VU,1571197173,69,-15.51,167.18,80.6,10.29
248,sobolevo,94,RU,1571197174,95,54.43,31.9,45.59,12.02
249,la tuque,100,CA,1571197175,86,47.44,-72.79,40.19,5.71
250,shellbrook,75,CA,1571197175,69,53.22,-106.39,35.6,8.05
251,sungaipenuh,36,ID,1571197176,57,-2.08,101.38,76.73,4.41
252,bambous virieux,40,MU,1571197177,69,-20.34,57.76,75.2,10.29
253,karabash,90,RU,1571197177,89,55.49,60.21,32.63,13.0
254,khatanga,100,RU,1571197177,94,71.98,102.47,12.47,11.86
255,champerico,90,MX,1571197178,94,16.38,-93.6,73.4,5.82
256,mpika,20,ZM,1571197178,75,-11.84,31.4,64.31,10.81
257,khilok,0,RU,1571197179,33,51.36,110.46,45.77,3.47
258,kalabo,34,ZM,1571197180,26,-15.0,22.67,68.99,6.54
259,kavaratti,20,IN,1571197180,74,10.57,72.64,84.2,4.7
260,prince george,75,CA,1571197180,87,53.92,-122.75,45.0,6.93
261,sioux lookout,90,CA,1571197180,100,50.1,-91.92,39.2,5.82
262,alexandru vlahuta,90,RO,1571197181,100,46.42,27.63,52.0,9.17
263,ostrzeszow,0,PL,1571197181,8,51.43,17.93,59.0,11.68
264,okato,0,NZ,1571197181,66,-39.19,173.88,59.0,8.01
265,port blair,40,IN,1571197182,74,11.67,92.75,86.0,8.05
266,bhigvan,8,IN,1571197182,63,18.32,74.77,76.37,9.33
267,la belgica,47,BO,1571197183,60,-17.57,-63.23,68.0,10.29
268,ukiah,1,US,1571197183,48,39.15,-123.21,63.0,5.82
269,birjand,0,IR,1571197184,33,32.86,59.22,44.6,4.7
270,rawson,0,AR,1571197185,79,-43.3,-65.11,49.01,20.2
271,borogontsy,91,RU,1571197185,76,62.67,131.17,22.37,3.27
272,merauke,0,ID,1571197186,43,-8.49,140.4,92.93,9.25
273,yulara,33,AU,1571197186,24,-25.24,130.99,82.4,12.75
274,am timan,100,TD,1571197186,93,11.04,20.28,71.15,5.04
275,merrill,1,US,1571197188,37,42.03,-121.6,55.0,10.29
276,codrington,0,AU,1571197188,36,-28.95,153.24,95.0,9.17
277,victor harbor,20,AU,1571197189,59,-35.55,138.62,61.0,14.99
278,huarmey,94,PE,1571197190,81,-10.07,-78.15,60.53,2.32
279,tabas,0,IR,1571197190,21,33.6,56.92,59.0,2.24
280,san carlos de bariloche,75,AR,1571197190,80,-41.13,-71.31,41.0,5.82
281,tuatapere,71,NZ,1571197190,71,-46.13,167.69,57.99,5.01
282,beloha,68,MG,1571197191,76,-25.17,45.06,69.17,17.58
283,jiujiang,96,CN,1571197191,52,29.73,115.99,64.13,11.59
284,popondetta,0,PG,1571197192,53,-8.77,148.24,81.05,6.97
285,chuy,100,UY,1571197192,77,-33.69,-53.46,57.11,11.93
286,half moon bay,1,US,1571197192,93,37.46,-122.43,64.4,4.7
287,si sa ket,53,TH,1571197193,66,15.12,104.33,88.0,9.17
288,pathein,23,MM,1571197193,70,16.78,94.73,84.47,5.83
289,estelle,96,FR,1571197194,87,43.97,3.47,50.0,5.82
290,toamasina,75,MG,1571197195,94,-18.17,49.38,69.8,4.7
291,nioro,95,GM,1571197195,82,13.79,-15.05,78.89,7.73
292,krasnozerskoye,100,RU,1571197195,68,53.98,79.24,47.21,17.9
293,mahon,20,IE,1571197195,93,51.89,-8.4,44.01,9.17
294,ormara,0,PK,1571197196,70,25.21,64.64,81.95,4.13
295,el fuerte,24,MX,1571197196,71,26.42,-108.62,82.67,5.36
296,tautira,40,PF,1571197197,74,-17.73,-149.15,82.4,9.17
297,gizo,20,IL,1571197198,94,31.8,34.94,75.99,4.7
298,forestville,5,CA,1571197198,65,48.74,-69.09,44.6,14.99
299,ozernovskiy,100,RU,1571197198,82,51.5,156.52,39.47,25.91
300,cap malheureux,40,MU,1571197199,69,-19.98,57.61,75.2,10.29
301,luderitz,0,NA,1571197200,82,-26.65,15.16,57.2,8.05
302,kijang,40,KR,1571197200,45,35.24,129.21,66.2,3.36
303,esperance,75,AU,1571197201,59,-33.86,121.89,60.8,11.41
304,manono,99,CD,1571197201,90,-7.3,27.4,70.07,3.8
305,kirakira,19,SB,1571197202,63,-10.46,161.92,82.85,1.94
306,pangody,98,RU,1571197202,83,65.85,74.49,27.59,22.33
307,belyy yar,100,RU,1571197202,53,53.6,91.39,51.8,13.42
308,saint andrews,100,NZ,1571197202,74,-44.53,171.19,57.99,7.0
309,tapes,100,BR,1571197202,93,-30.67,-51.4,60.35,6.28
310,kavieng,54,PG,1571197203,69,-2.57,150.8,83.57,1.93
311,abnub,0,EG,1571197203,83,27.27,31.15,69.8,5.82
312,magistralnyy,6,RU,1571197204,61,56.17,107.45,43.79,4.83
313,powell river,90,CA,1571197204,100,49.84,-124.52,51.01,9.17
314,rock sound,29,BS,1571197204,72,24.9,-76.2,78.89,11.15
315,emerald,0,AU,1571197205,26,-23.53,148.16,96.01,10.29
316,sarangani,1,PH,1571197205,68,5.4,125.46,83.03,5.3
317,provideniya,90,RU,1571197205,86,64.42,-173.23,39.2,15.66
318,karpogory,0,RU,1571197205,94,64.0,44.44,30.47,5.07
319,ambilobe,99,MG,1571197206,84,-13.19,49.05,74.03,5.56
320,moose factory,90,CA,1571197206,100,51.26,-80.61,37.4,5.82
321,barcarena,81,BR,1571197206,88,-1.51,-48.62,77.0,5.82
322,male,0,UA,1571197206,91,50.74,33.7,52.97,5.88
323,saint anthony,1,US,1571197207,52,43.97,-111.68,45.0,4.74
324,alcala la real,41,ES,1571197207,80,37.46,-3.92,55.0,2.24
325,sao jose da coroa grande,9,BR,1571197208,77,-8.9,-35.15,77.45,16.1
326,maharajganj,0,IN,1571197208,58,26.11,84.5,79.43,1.96
327,agua dulce,88,MX,1571197209,93,18.14,-94.15,76.55,5.3
328,hamilton,75,CA,1571197209,76,43.26,-79.87,55.99,9.17
329,kudahuvadhoo,98,MV,1571197210,68,2.67,72.89,82.49,4.02
330,high level,90,CA,1571197210,80,58.52,-117.13,33.8,13.87
331,najran,40,SA,1571197210,31,17.54,44.22,73.4,6.93
332,upata,98,VE,1571197211,91,8.02,-62.41,78.01,1.99
333,santa isabel,1,MX,1571197211,24,32.63,-115.58,84.2,5.82
